profile_id,zip_code,sub_profile_type,service_ids_json,commonCaregiverProfile_id,commonCaregiverProfile_repeatClientsCount,commonCaregiverProfile_merchandizedJobInterests_flags_json
0a1d950f-61c9-442b-a005-07a889922805,07008,commonCaregiverProfile,"[""CHILD_CARE""]",33789387,0.0,[]
0a2767cf-d176-4318-8a23-2a2bff0f5ea3,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",33476882,0.0,[]
0a2a9c92-74d2-4e0b-9732-956ce539f60c,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant""]"
0a2c8a30-5368-469e-bfc7-5ff4e4581264,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",,0.0,"[""companionCare""]"
0a37a694-22a5-4a36-b0f8-2ca51f002512,07008,commonCaregiverProfile,"[""CHILD_CARE""]",14362777,0.0,[]
0a394baf-9985-496e-b820-1630aa0d8a74,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
0a716993-d380-4567-a31b-5161d17d67a7,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE"", ""TUTORING""]",15133355,0.0,"[""companionCare"", ""lightCleaning"", ""personalAssistant"", ""petHelp""]"
0a748202-08d6-47a8-b2f7-8568b88274a4,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""TUTORING""]",,0.0,"[""lightCleaning"", ""personalAssistant""]"
0aa633ff-3c12-4937-904f-4fd36fb9e343,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""PET_CARE""]",,0.0,[]
0aabe6ec-a1f8-4d23-b920-bef4f147af65,07008,commonCaregiverProfile,"[""CHILD_CARE""]",35839527,0.0,[]
0b4ce4c3-7649-48ca-8a43-402f3b786507,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",1415073,0.0,"[""companionCare""]"
0b6bcf14-a46a-4ef4-8a42-e43d8fa6c006,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",33937506,0.0,[]
0b7f6e12-60cf-4c68-a38b-4e40c2ef98ed,07008,commonCaregiverProfile,"[""CHILD_CARE""]",26916993,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""transportation""]"
0b83a498-2298-41b8-b0b7-0110c70199c1,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
0b95b3b5-719f-4ef9-a005-21d80f3beb7a,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",14230888,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0bdc7617-3294-4f9b-84bf-bea0cea810f9,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",33114907,0.0,[]
0bdf3783-479c-4b10-869c-18763ce58106,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE"", ""TUTORING""]",19876747,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""shopping"", ""transportation""]"
0bf3af29-1e2d-445c-bd54-b9f64b47f1bb,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""shopping""]"
0c495a14-0136-4a57-a036-f882cdd72b13,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",28900706,0.0,"[""companionCare"", ""personalAssistant""]"
0c64bbd7-7d2b-47b1-ab50-a8ab0fc25eff,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",16192263,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0c72f894-0a58-4c6c-8a14-7a1a0bbfe7a4,07008,commonCaregiverProfile,"[""CHILD_CARE""]",34444000,0.0,[]
0c76ef03-3c81-41ce-ae52-2ecb263159d3,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",28434663,0.0,[]
0c8c53dc-33e3-40fd-bf84-852c4ce89723,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
0d1031d7-6d1c-41e0-9226-e63235c370ef,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""TUTORING""]",28702697,0.0,[]
0d251690-82f1-47b2-af26-aa90716e8dd5,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",17858641,0.0,[]
0d256e4a-73a0-40ad-ba8f-6db7e9cad678,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",1726228,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
