profile_service_pk,profile_id,service_offered
424,5f42dd6e3cfe70001e59d2c1,Faxinar
425,5f42dd6e3cfe70001e59d2c1,Organizar
426,5f42dd6e3cfe70001e59d2c1,Limpeza Residencial
427,5f431858cc6f2a001e4fa010,Faxinar
428,5f431858cc6f2a001e4fa010,Passar
429,5f431858cc6f2a001e4fa010,Lavar
430,5f431858cc6f2a001e4fa010,Cozinhar
431,5f431858cc6f2a001e4fa010,Organizar
432,5f431858cc6f2a001e4fa010,Limpeza Residencial
433,5f431858cc6f2a001e4fa010,Vidros e Fachadas
434,5f431858cc6f2a001e4fa010,Higienização e Impermeabilização de Estofados
435,5f431858cc6f2a001e4fa010,Limpeza Pós-Obra
436,5f431858cc6f2a001e4fa010,Pisos e Pedras Naturais
437,5f431858cc6f2a001e4fa010,Detalhamento Automotivo
438,5f431d01cc6f2a001e4fa011,Faxinar
439,5f431d01cc6f2a001e4fa011,Vidros e Fachadas
440,5f431d01cc6f2a001e4fa011,Limpeza Residencial
441,5f431d01cc6f2a001e4fa011,Limpeza Pós-Obra
442,5f46eac8f2ced2001e428907,Lavar
443,5f46eac8f2ced2001e428907,Faxinar
444,5f46eac8f2ced2001e428907,Passar
445,5f46eac8f2ced2001e428907,Cozinhar
446,5f46eac8f2ced2001e428907,Limpeza Residencial
447,5f47f7b0f2ced2001e428954,Cozinhar
448,5f47f7b0f2ced2001e428954,Lavar
449,5f47f7b0f2ced2001e428954,Faxinar
450,5f483344f2ced2001e428972,Cozinhar
451,5f483344f2ced2001e428972,Lavar
452,5f483344f2ced2001e428972,Passar
453,5f483344f2ced2001e428972,Faxinar
454,5f483344f2ced2001e428972,Organizar
455,5f496bc8afb9e0001e619d1b,Lavar
456,5f496bc8afb9e0001e619d1b,Faxinar
457,5f496bc8afb9e0001e619d1b,Passar
458,5f496bc8afb9e0001e619d1b,Cozinhar
459,5f496bc8afb9e0001e619d1b,Organizar
460,5f496bc8afb9e0001e619d1b,Limpeza Pós-Obra
461,5f496bc8afb9e0001e619d1b,Higienização e Impermeabilização de Estofados
462,5f496bc8afb9e0001e619d1b,Vidros e Fachadas
463,5f496bc8afb9e0001e619d1b,Limpeza Residencial
464,5f5024ced97b9b001e01c496,Faxinar
465,5f5024ced97b9b001e01c496,Passar
